player_name,season,position,rookie_total_ppr_points,fantasy_relevant_binary,PC1,PC2,cluster
DeVonta Smith,2021,WR,219.6,1.0,-0.7900302712951413,2.4500096529534945,0
Justin Fields,2021,QB,159.4,0.0,1.4417594751924618,-0.41514598777036293,1
Mac Jones,2021,QB,258.8,0.0,1.3116321775672526,0.27318118835419847,1
Kadarius Toney,2021,WR,94.9,0.0,-1.9296577720159884,0.5250913928203281,0
Najee Harris,2021,RB,300.7,1.0,0.40542860049326507,0.9411527661809631,2
Travis Etienne,2021,RB,0.0,0.0,-0.017454658547227837,2.3623398509939357,0
Rashod Bateman,2021,WR,96.5,0.0,-2.0323079946037335,-0.045369915313421015,0
Drake London,2022,WR,190.6,1.0,-0.6993501830466325,-2.0166337619907337,2
Garrett Wilson,2022,WR,227.1,1.0,-1.4958046882076477,0.488164396768512,0
Chris Olave,2022,WR,234.2,1.0,-1.0270814332522062,1.3948853367987522,0
Jameson Williams,2022,WR,15.3,0.0,-1.8119707949854347,0.09769981831558922,0
Jahan Dotson,2022,WR,147.3,0.0,-1.5986876062997084,1.3570112448165306,0
Treylon Burks,2022,WR,108.4,0.0,-0.8930257056368811,-0.9407304591969332,2
Kenny Pickett,2022,QB,183.0,0.0,2.9645276566864918,2.1461886402885364,1
Bryce Young,2023,QB,200.3,0.0,1.431024144384103,1.407860385781966,1
C.J. Stroud,2023,QB,328.0,1.0,2.053291952859158,-0.57668039908073,1
Anthony Richardson,2023,QB,135.0,0.0,0.5032037351167487,-2.66375769185974,2
Bijan Robinson,2023,RB,272.9,1.0,-0.7410590612088499,-0.2879518265286586,0
Jahmyr Gibbs,2023,RB,271.9,1.0,-1.8996320665563096,0.2038353074832263,0
Jaxon Smith-Njigba,2023,WR,147.8,0.0,-2.2321877415697897,-0.6975680652059245,0
Quentin Johnston,2023,WR,88.1,0.0,-1.3749070428154149,-0.513510172644055,0
Zay Flowers,2023,WR,216.8,1.0,-1.8899513320364554,2.2972482193443446,0
Jordan Addison,2023,WR,241.1,1.0,-2.040230394270362,1.0418686750945483,0
Dalton Kincaid,2023,TE,157.3,1.0,-0.41523001442186275,-1.6805092581107588,2
Caleb Williams,2024,QB,285.4,0.0,2.7272456512278707,0.6601539455037229,1
Jayden Daniels,2024,QB,392.7,1.0,3.5499545613682177,1.9708800044938286,1
Drake Maye,2024,QB,198.3,0.0,2.186422178811851,-0.9709067571808908,1
Marvin Harrison-Jr.,2024,WR,246.8,1.0,-0.052118431549838744,-0.7385828232836932,2
Malik Nabers,2024,WR,301.2,1.0,-1.1802853142218594,0.09510538970555779,0
Michael Penix,2024,QB,21.7,0.0,3.841629710875289,1.9895468030936747,1
Rome Odunze,2024,WR,181.6,0.0,-0.3237717720209565,-0.39980673775845993,2
J.J. McCarthy,2024,QB,0.0,0.0,0.9097992983794819,-0.2499068764832594,1
Bo Nix,2024,QB,318.5,1.0,4.239788200864524,3.4131979493503475,1
Brock Bowers,2024,TE,242.4,1.0,-0.08885530222654733,-1.4819880398617327,2
Brian Thomas,2024,WR,287.9,1.0,-1.4378299754371764,-0.2989977745757613,0
Xavier Worthy,2024,WR,224.1,1.0,-2.511332629240501,1.657102297648476,0
Ricky Pearsall,2024,WR,126.2,0.0,-1.6811934930174461,1.9382553852391013,0
Xavier Legette,2024,WR,141.5,0.0,-1.0169476787540175,0.3859554183951114,2
Cam Ward,2025,QB,186.6,0.0,3.0445958147732095,0.969389087502547,1
Travis Hunter,2025,WR,63.8,0.0,-1.2676166752836255,-0.5934040314215379,0
Ashton Jeanty,2025,RB,245.1,1.0,-0.5506909761110633,1.270816254739697,0
Tetairoa McMillan,2025,WR,211.4,1.0,-0.024694165647361065,-0.8986687748160609,2
Colston Loveland,2025,TE,165.1,1.0,-0.11159936098090065,-2.3896803164704234,2
Tyler Warren,2025,TE,188.5,1.0,0.7972150025982021,-1.135865981897919,2
Emeka Egbuka,2025,WR,195.7,1.0,-1.0379752594824543,0.8873372608182801,0
Omarion Hampton,2025,RB,135.7,0.0,-0.6184444152250367,0.31159835327039265,0
Matthew Golden,2025,WR,70.0,0.0,-1.9466739782177223,0.8460349268882041,0
Jaxson Dart,2025,QB,241.6,0.0,2.175830262588275,1.455656302227186,1
